short,long
Tuta,TUTA
Tutazá,TUTAZÁ
Umbita,UMBITA
Ventaquemada,VENTAQUEMADA
Viracachá,VIRACACHÁ
Zetaquira,ZETAQUIRA
Manizales,MANIZALES
Aguadas,AGUADAS
Anserma,ANSERMA
Aranzazu,ARANZAZU
Belalcázar,BELALCÁZAR
Chinchiná,CHINCHINÁ
Filadelfia,FILADELFIA
La Dorada,LA DORADA
La Merced,LA MERCED
Manzanares,MANZANARES
Marmato,MARMATO
Marquetalia,MARQUETALIA
Marulanda,MARULANDA
Neira,NEIRA
Norcasia,NORCASIA
Pácora,PÁCORA
Palestina,PALESTINA
Pensilvania,PENSILVANIA
Riosucio,RIOSUCIO
Risaralda,RISARALDA
Salamina,SALAMINA
Samaná,SAMANÁ
San José,SAN JOSÉ
Supía,SUPÍA
Victoria,VICTORIA
Villamaría,VILLAMARÍA
Viterbo,VITERBO
Florencia,FLORENCIA
Albania,ALBANIA
Belén de los Andaquíes,BELÉN DE LOS ANDAQUÍES
Cartagena del Chairá,CARTAGENA DEL CHAIRÁ
Curillo,CURILLO
El Doncello,EL DONCELLO
El Paujil,EL PAUJIL
La Montañita,LA MONTAÑITA
Milán,MILÁN
Morelia,MORELIA
Puerto Rico,PUERTO RICO
San José del Fragua,SAN JOSÉ DEL FRAGUA
San Vicente del Caguán,SAN VICENTE DEL CAGUÁN
Solano,SOLANO
Solita,SOLITA
Valparaíso,VALPARAÍSO
Popayán,POPAYÁN
Almaguer,ALMAGUER
Argelia,ARGELIA
Balboa,BALBOA
Bolívar,BOLÍVAR
Buenos Aires,BUENOS AIRES
Cajibío,CAJIBÍO
Caldono,CALDONO
Caloto,CALOTO
Corinto,CORINTO
El Tambo,EL TAMBO
Florencia,FLORENCIA
Guachené,GUACHENÉ
Guapi,GUAPI
Inzá,INZÁ
Jambaló,JAMBALÓ
La Sierra,LA SIERRA
La Vega,LA VEGA
López,LÓPEZ
Mercaderes,MERCADERES
Miranda,MIRANDA
Morales,MORALES
Padilla,PADILLA
Paez,PAEZ
Patía,PATÍA
Piamonte,PIAMONTE
Piendamó,PIENDAMÓ
Puerto Tejada,PUERTO TEJADA
Puracé,PURACÉ
Rosas,ROSAS
San Sebastián,SAN SEBASTIÁN
Santander de Quilichao,SANTANDER DE QUILICHAO
Santa Rosa,SANTA ROSA
Silvia,SILVIA
Sotara,SOTARA
Suárez,SUÁREZ
Sucre,SUCRE
Timbío,TIMBÍO
Timbiquí,TIMBIQUÍ
Toribio,TORIBIO
Totoró,TOTORÓ
Villa Rica,VILLA RICA
Valledupar,VALLEDUPAR
Aguachica,AGUACHICA
Agustín Codazzi,AGUSTÍN CODAZZI
Astrea,ASTREA
Becerril,BECERRIL
Bosconia,BOSCONIA
Chimichagua,CHIMICHAGUA
Chiriguaná,CHIRIGUANÁ
Curumaní,CURUMANÍ
El Copey,EL COPEY
El Paso,EL PASO
Gamarra,GAMARRA
González,GONZÁLEZ
La Gloria,LA GLORIA
La Jagua de Ibirico,LA JAGUA DE IBIRICO
Manaure,MANAURE
Pailitas,PAILITAS
Pelaya,PELAYA
Pueblo Bello,PUEBLO BELLO
Río de Oro,RÍO DE ORO
La Paz,LA PAZ
San Alberto,SAN ALBERTO
San Diego,SAN DIEGO
San Martín,SAN MARTÍN
Tamalameque,TAMALAMEQUE
Montería,MONTERÍA
Ayapel,AYAPEL
Buenavista,BUENAVISTA
Canalete,CANALETE
Cereté,CERETÉ
Chimá,CHIMÁ
Chinú,CHINÚ
Ciénaga de Oro,CIÉNAGA DE ORO
Cotorra,COTORRA
La Apartada,LA APARTADA
Lorica,LORICA
Los Córdobas,LOS CÓRDOBAS
Momil,MOMIL
Montelíbano,MONTELÍBANO
Moñitos,MOÑITOS
Planeta Rica,PLANETA RICA
Pueblo Nuevo,PUEBLO NUEVO
Puerto Escondido,PUERTO ESCONDIDO
Puerto Libertador,PUERTO LIBERTADOR
Purísima,PURÍSIMA
Sahagún,SAHAGÚN
San Andrés Sotavento,SAN ANDRÉS SOTAVENTO
San Antero,SAN ANTERO
San Bernardo del Viento,SAN BERNARDO DEL VIENTO
San Carlos,SAN CARLOS
San José de Uré,SAN JOSÉ DE URÉ
San Pelayo,SAN PELAYO
Tierralta,TIERRALTA
Tuchín,TUCHÍN
Valencia,VALENCIA
Agua de Dios,AGUA DE DIOS
Albán,ALBÁN
Anapoima,ANAPOIMA
Anolaima,ANOLAIMA
Arbeláez,ARBELÁEZ
Beltrán,BELTRÁN
Bituima,BITUIMA
Bojacá,BOJACÁ
Cabrera,CABRERA
Cachipay,CACHIPAY
Cajicá,CAJICÁ
Caparrapí,CAPARRAPÍ
Caqueza,CAQUEZA
Carmen de Carupa,CARMEN DE CARUPA
Chaguaní,CHAGUANÍ
Chía,CHÍA
Chipaque,CHIPAQUE
Choachí,CHOACHÍ
Chocontá,CHOCONTÁ
Cogua,COGUA
Cota,COTA
Cucunubá,CUCUNUBÁ
El Colegio,EL COLEGIO
El Peñón,EL PEÑÓN
El Rosal,EL ROSAL
Facatativá,FACATATIVÁ
Fomeque,FOMEQUE
Fosca,FOSCA
Funza,FUNZA
Fúquene,FÚQUENE
Fusagasugá,FUSAGASUGÁ
Gachala,GACHALA
Gachancipá,GACHANCIPÁ
Gachetá,GACHETÁ
Gama,GAMA
Girardot,GIRARDOT
Granada,GRANADA
Guachetá,GUACHETÁ
Guaduas,GUADUAS
Guasca,GUASCA
Guataquí,GUATAQUÍ
Guatavita,GUATAVITA
Guayabal de Siquima,GUAYABAL DE SIQUIMA
Guayabetal,GUAYABETAL
Gutiérrez,GUTIÉRREZ
Jerusalén,JERUSALÉN
Junín,JUNÍN
La Calera,LA CALERA
La Mesa,LA MESA
La Palma,LA PALMA
